"Reference","Value","Footprint","Datasheet","Qty","Manf#","Proveedor","DNP"
"J2","LAMP1","Connector_FFC-FPC:TE_84952-6_1x06-1MP_P1.0mm_Horizontal","~","1","84952-6","",""
"J1","Conn_02x30_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x30_P1.27mm_Vertical_SMD","https://www.mouser.mx/ProductDetail/Samtec/FTSH-130-04-L-DV?qs=0lQeLiL1qyYIRZZeyjCnUw%3D%3D","1","20021121-00034T4LF","Mouser",""
